# MJD_C		Flux_diff_C	Flux_err_C	Flux_linear_fit_C
55008.3		-0.4493	0.04235113	0.548406452
55008.32	-0.1594	0.04247446	0.548392659
55012.36	0.6087	0.0428012	0.544820119
55012.38	-0.4437	0.04235351	0.544806325
55020.82	0.5694	0.0427845	0.53735089
55020.86	1.0126	0.04297305	0.537323303
55027.05	1.3613	0.04312141	0.531850696
55027.07	0.5015	0.04275561	0.531836902
55034.95	0.1587	0.04260976	0.524884933
55034.96	0.4805	0.04274667	0.524867691
55041.8		1.0034	0.04296912	0.518829547
55047.27	0.5757	0.0427872	0.514005239
55047.29	0.5547	0.04277823	0.513991446
55072.66	1.0171	0.04297498	0.491587207
55090.44	0.4385	0.04272882	0.475893551
55100.29	0.1244	0.04259519	0.467203589
55107.07	0.0069	0.0425452	0.461213723
55126.08	1.2192	0.04306093	0.444430372
55170.85	0.3363	0.04268534	0.404911737
55205.26	0.3179	0.04267749	0.374531356
55254.82	0.3113	0.0426747	0.330781537
55289.21	-0.0113	0.04253746	0.300421846
55339.25	0.2951	0.04266782	0.256244426
55373.37	1.2743	0.04308438	0.226122674
55422.64	1.2929	0.04309231	0.182628037
55458.1		0.3749	0.04270177	0.151326934
55517.59	0.049	0.02815295	0.098814737
55517.6		0.2402	0.02820675	0.098800943
55549.96	0.0981	0.02816676	0.070230971
55549.98	0.2002	0.02819549	0.070220625
55586.05	0.1457	0.02818016	0.038374675
55586.07	-0.5409	0.02798694	0.038360881
55622.64	0.1946	0.02819391	0.006076984
55622.65	-0.2198	0.0280773	0.006063191
55658.89	-0.0171	0.02813434	-0.025924144
55658.93	-0.0371	0.02812871	-0.025965525
55689.89	0.1832	0.0281907	-0.053297523
55689.91	0.0571	0.02815523	-0.053311317
55726.95	0.2675	0.02821443	-0.086005573
55726.96	-0.202	0.0280823	-0.086015918
55759.92	0.2697	0.02821504	-0.115116944
55759.96	-0.3072	0.02805271	-0.115154877
55795.61	-0.3656	0.02803628	-0.146621503
55795.62	-0.8251	0.02790696	-0.146631849
55835.91	0.1041	0.02816844	-0.18219862
55835.95	-0.705	0.02794078	-0.182236552
55864.52	-0.293	0.0280567	-0.207454683
55864.53	0.1238	0.02817398	-0.207465028
55928.85	-0.4141	0.02802263	-0.264242892
55928.86	-0.1312	0.02810223	-0.264256686
56005.53	-0.2567	0.02806692	-0.331938383
56005.54	-0.5293	0.02799021	-0.331948728
56123.89	-0.0907	0.02811362	-0.436421377
56123.9		-0.4443	0.02801413	-0.436431723
56147.01	-0.7628	0.02792451	-0.456832442
56147.02	-0.8506	0.02789981	-0.456842787
56215.15	-0.6365	0.02796004	-0.516989736
56215.16	0.0325	0.02814829	-0.517000081
