# MJD_A		Flux_diff_A	Flux_err_A	Flux_linear_fit_A	
55008.24	0.2269	0.04303034	0.306046766
55008.25	-0.6326	0.04297081	0.306031793
55012.3		0.4058	0.04295068	0.30215366
55012.32	0.074	0.04292823	0.302138686
55020.79	0.5257	0.0429239	0.294019314
55020.8		0.0825	0.04288898	0.29400434
55026.99	-0.9915	0.04287534	0.28807484
55027.01	0.5517	0.04286955	0.288059866
55034.84	0.1262	0.04285711	0.280554406
55034.89	0.815	0.04281702	0.280501999
55041.7		0.4272	0.04280999	0.273977303
55041.75	-0.2691	0.04278893	0.273928639
55047.21	0.3306	0.04278134	0.268699149
55047.23	0.8971	0.04277698	0.268684175
55057.38	-0.1158	0.04277357	0.258951409
55061.04	0.4115	0.04276589	0.25544387
55072.61	-0.0464	0.04274263	0.244359747
55080.54	0.2234	0.04274101	0.23675696
55086.32	-1.0757	0.04274034	0.231220513
55090.42	-0.0143	0.042724	0.227289973
55100.26	0.0065	0.04271731	0.217860421
55107.05	-0.3195	0.04271489	0.211354441
55115.57	0.4672	0.04271103	0.203190148
55126.06	-0.1546	0.04268339	0.193135452
55136.27	0.562	0.0426829	0.183357765
55142.52	2.00E-04	0.04263879	0.177364628
55146.21	0.7401	0.04263731	0.173830885
55170.83	0.5437	0.04262069	0.150236414
55177.68	0.7829	0.04259595	0.143670541
55198.08	0.9072	0.04258024	0.124122655
55205.2		1.0073	0.04257737	0.117294745
55229.22	0.3317	0.04257377	0.094280497
55230.55	0.471	0.04257076	0.093007751
55254.8		-0.3453	0.04254504	0.069765157
55260.99	0.067	0.04254234	0.063831914
55282.75	-0.1186	0.04253618	0.042985078
55289.19	-0.3474	0.04252253	0.036808515
55310.05	0.6458	0.04251661	0.016815168
55314.59	1.1473	0.04251556	0.012472857
55339.2		-0.0603	0.04249302	-0.011114127
55344.05	0.6293	0.04249181	-0.015767138
55366.05	0.4656	0.04248701	-0.036849806
55373.35	0.96	0.04247648	-0.043842424
55394.05	-0.1299	0.0424278	-0.063682293
55399.18	0.3967	0.04240634	-0.068589853
55422.62	0.7693	0.04239537	-0.091061312
55426.29	0.0893	0.04239446	-0.094576338
55454.63	0.1843	0.04227312	-0.121734498
55458.08	-0.0628	0.04212046	-0.125039895
55478.22	0.5798	0.04208466	-0.144336975
55517.06	0.174	0.02820146	-0.181557318
55517.07	0.2214	0.02818811	-0.181572292
55550.89	-0.1933	0.02814507	-0.213982402
55550.91	-0.2796	0.02812914	-0.213997376
55585.99	-0.2806	0.02812591	-0.247612852
55586		-0.4193	0.02811694	-0.247627825
55622.57	-0.9272	0.0281068	-0.282673269
55622.59	-0.3812	0.02808478	-0.282688243
55660.73	0.021	0.02807776	-0.319242265
55660.75	-0.4939	0.02807128	-0.319257239
55690.05	-0.115	0.02806047	-0.347332525
55690.1		-0.0356	0.0280602	-0.347381189
55725.08	-0.7255	0.02804781	-0.380906824
55725.14	-1.0006	0.02803189	-0.380959231
55761.52	-0.6088	0.02802118	-0.415828737
55761.57	-0.9772	0.02801912	-0.415869914
55795.54	-0.4266	0.02801107	-0.448422272
55795.55	-0.8028	0.02800017	-0.448437246
55835.83	-0.9815	0.02797335	-0.487038893
55835.88	-1.0545	0.02796785	-0.487083813
55865.25	-0.8328	0.02795976	-0.515230223
55865.27	-0.8591	0.02795014	-0.515245197
55900.16	-0.2412	0.02794901	-0.548680991
55928.78	-0.0471	0.02793941	-0.576112418
55928.8		-0.2182	0.02793931	-0.576127391
55970.04	-0.8162	0.02793577	-0.615653651
56005.4		-1.1541	0.02793501	-0.649534906
56005.41	-0.5893	0.02791326	-0.64954988
56051.79	-1.1417	0.0279095	-0.693991186
56123.82	-0.6376	0.02790481	-0.7630227
56123.84	-0.4552	0.02790162	-0.763037673
56148.4		-0.6717	0.02789741	-0.786575993
56148.41	-0.079	0.02787824	-0.786587223
56180.62	-0.3246	0.02787282	-0.817447578
56215.09	-1.5261	0.02786419	-0.850479088
56215.1		-1.6861	0.02786297	-0.850494062
56327.97	-1.1753	0.0278576	-0.958655038
56357.89	-0.6757	0.02784242	-0.987333007
56391.44	-0.7102	0.0278415	-1.019477338
56430.32	-1.3362	0.0278179	-1.056735114
56460.74	-1.2428	0.02781439	-1.085892235
56496.3		-0.7228	0.02780845	-1.119971889
56531.14	-0.7098	0.02779878	-1.153355276
56567.52	-2.0683	0.02778944	-1.188217295
56605.67	-1.0578	0.02776316	-1.224778804
56629.8		-0.8442	0.02770972	-1.247905353
56669.52	-1.2096	0.0276647	-1.285960468
56730.95	-0.9465	0.02755715	-1.344828728
